"","reportingPeriodEndingDate","originalLoanAmount_sum","vehicleValueAmount_sum","reportingPeriodBeginningLoanBalanceAmount_sum","nextReportingPeriodPaymentAmountDue_sum","otherAssessedUncollectedServicerFeeAmount_sum","scheduledInterestAmount_sum","scheduledPrincipalAmount_sum","otherPrincipalAdjustmentAmount_sum","reportingPeriodActualEndBalanceAmount_sum","reportingPeriodScheduledPaymentAmount_sum","totalActualAmountPaid_sum","actualInterestCollectedAmount_sum","actualPrincipalCollectedAmount_sum","actualOtherCollectedAmount_sum","chargedoffPrincipalAmount_sum","recoveredAmount_sum","repossessedProceedsAmount_sum","originalInterestRatePercentage_sum","paymentToIncomePercentage_sum","reportingPeriodInterestRatePercentage_sum","nextInterestRatePercentage_sum","servicingFeePercentage_sum","remainingTermToMaturityNumber_sum","obligorCreditScore_sum","originalLoanAmount_mean","vehicleValueAmount_mean","reportingPeriodBeginningLoanBalanceAmount_mean","nextReportingPeriodPaymentAmountDue_mean","otherAssessedUncollectedServicerFeeAmount_mean","scheduledInterestAmount_mean","scheduledPrincipalAmount_mean","otherPrincipalAdjustmentAmount_mean","reportingPeriodActualEndBalanceAmount_mean","reportingPeriodScheduledPaymentAmount_mean","totalActualAmountPaid_mean","actualInterestCollectedAmount_mean","actualPrincipalCollectedAmount_mean","actualOtherCollectedAmount_mean","chargedoffPrincipalAmount_mean","recoveredAmount_mean","repossessedProceedsAmount_mean","originalInterestRatePercentage_mean","paymentToIncomePercentage_mean","reportingPeriodInterestRatePercentage_mean","nextInterestRatePercentage_mean","servicingFeePercentage_mean","remainingTermToMaturityNumber_mean","obligorCreditScore_mean","numberActiveLoans","numberNewPrepaidLoans","numberPrepaidLoansTotal"
"1",2022-10-31,577191642.44001,520585871.73,573265198.690009,15182753.64,205191.86,3864648.60179499,569650.725489001,-46428.73,572052770.730005,4434299.32728399,4611953.98,3459185.45,1145995.14,9171.88,112861.55,0,0,5476.91899999996,3145.21269999999,2517.48600000002,5461.41919999997,781.079999999531,1855622,15255754,22168.9830404056,19994.8483534337,22018.1747845291,583.144632047934,7.88108234751884,148.434805722652,21.8793488050775,-1.78325126747575,21971.6074178061,170.31415452773,177.137577968966,132.861631971117,44.0157912121677,0.352276847442007,4.33482677830673,NA,NA,0.210359463819327,0.120802454294054,0.0966925026885855,0.20976414195729,0.03,71.2713934552159,585.948455984022,26036,0,0
"2",2022-11-30,697925281.220017,626155308.65,692786409.510014,20196058,261604.56,10963229.210789,2090039.656837,-74842.34,686505911.280013,13053268.867626,15553258.83,9258343.65999998,6311938.39999999,8658.18,43402.17,3365,3365,6664.68749999973,3806.11989999999,5461.41919999997,6648.93209999974,949.049999999379,2236328,18600318,22061.8075302671,19793.1186549708,21899.3649284021,638.408661292872,8.26946609767676,346.55379202747,66.0673196408091,-2.3658081239142,21700.8348752963,412.621111668279,491.647189189186,292.661408566461,199.523894420741,0.273689900426769,1.37196680891407,3365,3365,0.210674490279753,0.120313573573574,0.172638507981666,0.210176453295401,0.03,70.6915757863126,587.966429587482,31486,134,148
"3",2022-12-31,697925281.220019,626155308.65,686505911.280003,22281569.9199999,379538.530000001,12861847.6594371,4234488.74094999,521361.3,677584679.389996,17096336.4003871,20255669.6500001,11934610.16,8337121.79999998,6019.07,62748.79,23486.25,23486.25,6664.68749999984,3806.11989999998,6648.93209999986,6646.91129999986,949.049999999379,2204844,18600318,22061.8075302671,19793.1186549708,21700.8348752964,704.332856646118,11.9974246878479,406.570180478489,133.854551634266,16.4805215742029,21418.8297578631,540.424732112755,640.293018808281,377.259685791053,263.541071597903,0.190266160897768,1.98352426110312,11743.125,11743.125,0.210674490279753,0.120313573573574,0.210176453295401,0.210112574679943,0.03,69.6963489805595,587.966429587482,31269,177,278
"4",2023-01-31,696248849.380015,624580495.65,677584679.390001,24240957.8799999,627016.810000002,11792424.054222,5245499.06125204,703567.29,668106553.849999,17037923.115474,19668423.7199999,11228465.69,8447373.99999999,16200.63,327184.25,144802.65,0,6648.04929999984,3797.34569999997,6630.27309999987,6625.05319999987,946.679999999381,2167968,18553977,22063.9133407276,19792.7651048929,21472.4514954367,768.188549879578,19.8699711623773,373.698315826531,166.228262810622,22.2958324882771,21172.0925925339,539.926578637153,623.286339206496,355.826647547222,267.694701483076,0.513393015591127,10.3683689314197,12066.8875,NA,0.21067465141336,0.120336725186969,0.210111329065787,0.209945912029408,0.03,68.7022436303716,587.96986310052,31016,196,474
"5",2023-02-28,695392267.620018,623777592.65,668106553.850003,25422684.2799999,981805.910000001,11689176.092349,5339570.63179095,251179.75,654687274.100004,17028746.7241401,21337109.32,11034041.9,10293988.1599999,34102.54,2874111.84,676496.44,1464,6638.90519999981,3792.73259999997,6617.79269999984,6581.63409999984,945.449999999382,2133973,18530288,22065.4376525464,19793.0380025385,21199.6368031096,806.685206409649,31.1536065365724,370.908332297287,169.429498073647,7.97016500079453,20773.8306869745,540.337830370935,677.046146914175,350.120320482312,326.63773314295,1.08210502935067,91.19821799144,11090.1055737705,1464,0.210658581627796,0.120346901475488,0.209988662541647,0.208841316833254,0.03,67.7129303506269,587.983119149613,30635,218,687
"6",2023-03-31,695005232.09002,623413685.65,654687274.100006,24347885.4299998,1572878.82,11591426.748332,5420570.99703599,395770.26,631043983.480003,17011997.7453681,22632012.1,10670345.03,11951225.61,40348.61,11296294.75,2730415.78,4646,6634.91179999977,3790.83090000001,6578.1645999998,6444.85549999984,944.939999999382,2101805,18520605,22065.0591177218,19792.1673010985,20785.0426725506,772.997823036391,49.9358314813663,368.005166941774,172.092545464347,12.564933011621,20034.4143590069,540.097712406121,718.522195060003,338.76262080132,379.42807829069,1.28098958663992,358.635302241561,9101.38593333333,4646,0.21064549495206,0.120351479459013,0.208843882151248,0.204611578512921,0.03,66.7282049653945,587.993047177598,29795,254,937
"7",2023-04-30,694471263.160022,622928466.65,631043983.480001,24324367.4699997,2039744.96999999,11489726.1699401,5502075.37575498,147827.42,610156857.849999,16991801.545695,19837185.7399999,9451569.33999998,10373045.9499999,41632.36,10366252.26,2726967.34,17744,6629.43739999976,3788.09359999998,6440.40649999981,6303.71799999985,944.219999999383,2069986,18506006,22064.9190811464,19791.8430021605,20049.6912842346,772.840041621659,64.8073003113609,365.054526591472,174.813349931849,4.69681070089376,19386.0601718879,539.867876523321,630.272152888088,300.297685073397,329.575076253418,1.32275401919021,329.35922539242,5509.02492929293,17744,0.2106321852958,0.120356281375103,0.204626247061066,0.20028334498316,0.03,65.7681260723136,587.977568786934,28978,246,1180
"8",2023-05-31,694230488.320021,622696000.65,610156857.85,23898872.9499999,2600030.60999999,11391789.9474671,5582486.95027002,87043.03,590197067.700004,16974276.8977369,20032726.75,9144490.47000002,10868693.28,42516.85,9004053.84,3442548.04,22728.7,6626.55499999977,3786.71389999998,6301.39509999983,6189.01229999986,943.859999999383,2039941,18499853,22065.6820392855,19792.0030719598,19393.454257517,759.61073517259,82.6403474032123,362.080921348516,177.435857551014,2.76660828936492,18759.0448064332,539.51677889953,636.727695314989,290.65191246583,345.4546208124,1.35137149577208,286.188221982055,5025.61757664234,7576.23333333333,0.210620907761744,0.120358333863073,0.200285903629775,0.196713886593351,0.03,64.8382493166361,588.006261521836,28220,280,1456
"9",2023-06-30,694064465.27002,622543955.65,590197067.700005,23268327.8499999,3083077.45000001,11293879.8571779,5665403.43155003,510826.75,570372267.02,16959283.288728,19672279.82,9064509.75999996,10588840.3,50368.65,8725133.63000001,3238665.02,34692.69,6624.86729999974,3785.87829999997,6187.67429999982,6074.81889999984,943.649999999384,2010500,18495710,22065.3144260054,19791.5738563026,18763.2194468288,739.733837227783,98.0154967413709,359.048795332316,180.111379162295,16.2399221109414,18132.9603249085,539.160174494611,625.410262915265,288.173891591168,336.634566841525,1.60129232236494,277.384632967733,4734.89038011696,6938.538,0.210614124940392,0.120358553489111,0.196715126371006,0.19312728977905,0.03,63.9167064059768,588.005404546177,27427,296,1750
"10",2023-07-31,693469036.730021,621981980.65,570372267.020002,23182779.75,3585378.60000001,11187772.5790598,5746024.94851002,15493.14,552343074.929998,16933797.5275701,18383285.59,8372770.68999999,9987218.09999997,43051.55,8026480.85,2805125.65,14769,6619.51339999977,3782.56989999998,6072.09689999985,5971.07279999989,942.899999999384,1979716,18481277,22063.920990455,19789.436228126,18147.3836150176,737.600373846641,114.075042952599,355.95840213363,182.819756554566,0.492941139039178,17573.7535771557,538.778158688196,584.896137130126,266.394231307684,317.760677696443,1.36975978364615,255.376419026411,3885.21558171745,4923,0.210611307667833,0.120349026407891,0.193194301622653,0.18998004454343,0.03,62.9881005408845,588.01390391346,26739,255,2004
"11",2023-08-31,693420761.230018,621938457.650001,552343074.929997,22971084.0899999,4170675.17000002,11089078.968025,5833241.29299699,1189584.01,534251819.410001,16922320.2610221,17424958.85,8428869.42,8973444.47000004,46054.51,7928227.04,3119495.38,18646.41,6618.78389999975,3782.21119999998,5970.67279999988,5872.22179999989,942.809999999384,1950276,18479387,22064.4910818723,19789.9404222484,17575.4311556941,730.934676870204,132.709936360447,352.851973399465,185.612412670538,37.8522929328468,16999.7715152576,538.464386070004,554.45823177525,268.204709962773,285.532964330028,1.4654440449289,252.274383173691,3870.34166253102,4661.6025,0.210608199955452,0.120349101091418,0.189985451999873,0.186852763547268,0.03,62.0573392305979,588.009895949342,26018,242,2240
"12",2023-09-30,692054492.400018,620591581.65,534251819.410001,22808896.55,4723320.45000001,10970314.64632,5903605.96432298,21814.95,517899905.609998,16873920.6106431,16509722.0200001,8330290.97000001,8149531.69999999,44147.63,8180567.15,2911947.53,7079.36,6607.08059999978,3775.31849999998,5861.1613999999,5757.87529999991,940.949999999386,1917018,18442885,22064.5462266858,19786.1176996652,17033.3753996493,727.208562091507,150.592075561924,349.762941059142,188.222731207492,0.695518890482974,16512.0326991869,537.985672266635,526.374048142867,265.591932727571,259.828844253178,1.40754439661985,260.818337318645,3935.06422972973,1769.84,0.210651382113822,0.120367240554758,0.186869485094851,0.183576448270365,0.03,61.1196556671449,588.008448908019,25363,215,2450
"13",2023-10-31,691987095.530019,620527358.65,517899905.610001,22329770.7999999,5265922.30000001,10868592.94163,5982501.03382602,93718.15,500152143.109999,16851093.975456,16399299.28,7805411.99999997,8568231.55999997,45842.1300000001,9085812.79000001,2781291.15,20293.44,6606.38639999981,3774.98539999998,5757.75529999993,5645.46199999995,940.859999999386,1887736,18441111,22064.5078607869,19785.9625868886,16513.6121934186,712.000854537334,167.907732287475,346.552928436643,190.75636228002,2.98827083731924,15947.7119797845,537.309290716664,522.903490848779,248.881193801393,273.204245902712,1.46170939353335,289.707696894317,3467.94407730673,6764.48,0.210649397359862,0.120368133409859,0.183590182386328,0.180009629487914,0.03,60.1918245009884,588.008130859001,24666,213,2659
"14",2023-11-30,691846765.430018,620408279.65,500152143.109999,22139329.0299999,5910735.05999999,10764520.506894,6062985.57692396,23029.47,483070760.579999,16827506.083818,14949652.02,7376624.40999996,7544831.71,46731.47,9513521.35,3151901.51,8077,6605.10569999978,3774.41229999998,5645.10199999998,5533.4309,940.679999999386,1858296,18437908,22064.2545423523,19785.9510029978,15950.7635894245,706.063561359865,188.504115958659,343.300182003253,193.359662486414,0.734451779563077,15406.0071622656,536.659844489667,476.771655185673,235.253999553487,240.618436981736,1.49035176680744,303.403538397721,3513.82554069119,4038.5,0.210648861461921,0.120372888761322,0.180032593443041,0.176471198494706,0.03,59.2644469957902,588.018497257303,23981,190,2842
"15",2023-12-31,691763681.720015,620342856.65,483070760.579998,21858872.9,6440749.27,10659902.6932629,6146630.51702303,20850.05,467072843.120001,16806533.210286,14825104.0899999,7216264.69999999,7584846.98999997,42380.77,8392220.41999999,2472609.13,14175,6604.26819999977,3773.90649999999,5533.19089999996,5429.92409999997,940.559999999386,1828982,18435456,22064.41954963,19786.3886402781,15407.9727156162,697.208245088031,205.433441885683,340.007103000223,196.052261961693,0.665030939015053,14897.7048711406,536.059364961916,472.859916113754,230.169198137292,241.925458981925,1.35177245470748,267.677354554803,3174.08103979461,7087.5,0.21064902398571,0.120372113421791,0.176486058305691,0.173192271625414,0.03,58.3370119928553,588.015310028069,23358,169,3003
"16",2024-01-31,691709442.520021,620290358.65,467072843.120001,21050801.32,7126205.53999997,10554195.968003,6243139.89241001,124807.65,450709627.210002,16797335.8604129,13734841.69,7245271.89999999,6460590.55000002,52338.9699999999,9777817.70999999,3075105.14,21432.91,6603.67849999977,3773.67429999998,5429.74409999998,5311.0859,940.469999999386,1799802,18433725,22064.8008714792,19786.6075042266,14899.1305343075,671.498335513097,227.318432485876,336.667707678172,199.149570717088,3.98123225621386,14377.1612239624,535.81727839526,438.126947909026,231.116523653066,206.086017097845,1.6695578806342,311.902060990635,2931.46343183985,7144.30333333333,0.210650371622699,0.120376225716929,0.173203103767265,0.169418032473125,0.03,57.4117834699671,588.016364158345,22698,138,3133
"17",2024-02-29,691529292.850013,620137328.65,450709627.210001,20027055.5100001,7678896.85999996,10444935.826232,6347480.94376801,23476,435015701.299998,16792416.77,14615505.9099999,7369071.34000001,7188399.65000002,74454.5200000001,8482050.26,3062258.3,13235,6601.89369999977,3772.77289999998,5310.5459,5205.31340000003,940.199999999387,1769722,18428408,22065.3890507339,19787.4067852584,14381.289955648,639.025383216339,245.019044671329,333.278105495597,202.536086272112,0.749074664964962,13880.5265252073,535.814191767709,466.353092214441,235.133099553314,229.368208359921,2.3757026164634,270.646147415582,3170.03964803313,4411.66666666667,0.210653915124442,0.120382032546267,0.169449454371409,0.166091684747926,0.03,56.4684747925973,588.015571155073,22067,175,3303
"18",2024-03-31,691435592.200015,620053757.65,435015701.299998,19031424.6399998,8221126.24999997,10334770.079198,6455195.71080199,17675.88,419622936.360002,16789965.79,14550693.16,6899504.82000001,7584324.95,82364.2099999999,7790764.11,3013497.93,1392.61,6600.94549999976,3772.19299999999,5205.19340000004,5111.15760000006,940.079999999387,1739766,18425940,22065.2154774062,19787.2656896222,13882.2983565228,607.334204748537,262.354041677324,329.805019121713,205.999352527508,0.564075823333893,13391.0817066633,535.804371649221,464.344305591024,220.17822376818,242.032325440368,2.62842130456847,248.620248595781,3175.44565858799,696.305,0.210650545698239,0.120378893285678,0.166109056676029,0.163108169517486,0.03,55.5197217258105,588.0118713301,21487,164,3457
"19",2024-04-30,691382013.290018,620009432.65,419622936.360001,18821233.3599998,8721823.44000001,10223420.183662,6565160.796338,73217.19,405215242.750001,16788580.98,13414809.7899999,6234345.53,7141554.57000004,63811.49,7192921.85,3082965.64,4612.25,6600.27219999975,3771.76799999998,5110.97760000003,5021.99870000007,939.989999999387,1710245,18424106,22065.6181434909,19787.7455925063,13392.3638451467,600.684050681392,278.359028500306,326.282838657709,209.528637421824,2.33674368876186,12932.5389445634,535.811476079533,428.136781987033,198.970591070112,227.92437908918,2.03655858041063,229.563777806076,3165.26246406571,2306.125,0.210649226055596,0.120376855072926,0.163118041681296,0.160278259343186,0.03,54.58286790285,588.009638400409,20902,190,3639
